model,doc_id,source_file,status,reason,gt_file_exists,matched_count,gt_only_count,pred_only_count,gt_defendant_count,pred_defendant_count,llm_calls,input_tokens,output_tokens,total_tokens,fallback_errors,fallback_used
one_call,22-03-2024-Ho_Chi_Minh-2ta1647097t1cvn,22-03-2024-Ho_Chi_Minh-2ta1647097t1cvn.json,processed,ok,True,1,0,0,1,1,1,1528,485,2013,0,False
one_call,22-04-2024-Gia_Lai-2ta1526648t1cvn,22-04-2024-Gia_Lai-2ta1526648t1cvn.json,processed,ok,True,1,0,0,1,1,1,1572,667,2239,0,False
one_call,22-04-2025-Dong_Nai-2ta1867248t1cvn,22-04-2025-Dong_Nai-2ta1867248t1cvn.json,processed,ok,True,1,0,0,1,1,1,1821,696,2517,0,False
one_call,22-04-2025-Gia_Lai-2ta1972854t1cvn,22-04-2025-Gia_Lai-2ta1972854t1cvn.json,processed,ok,True,1,0,0,1,1,1,1768,586,2354,0,False
one_call,22-07-2025-Ho_Chi_Minh-2ta1936709t1cvn,22-07-2025-Ho_Chi_Minh-2ta1936709t1cvn.json,processed,ok,True,4,0,0,4,4,1,3029,1888,4917,0,False
one_call,23-01-2025-Ha_Noi-2ta1867331t1cvn,23-01-2025-Ha_Noi-2ta1867331t1cvn.json,processed,ok,True,1,0,0,1,1,1,1627,476,2103,0,False
one_call,23-01-2025-Hung_Yen-2ta1769729t1cvn,23-01-2025-Hung_Yen-2ta1769729t1cvn.json,processed,ok,True,2,0,0,2,2,1,1988,836,2824,0,False
one_call,23-01-2025-Thai_Binh-2ta1733198t1cvn,23-01-2025-Thai_Binh-2ta1733198t1cvn.json,processed,ok,True,1,0,0,1,1,1,1507,625,2132,0,False
one_call,23-04-2025-Ho_Chi_Minh-2ta1959237t1cvn,23-04-2025-Ho_Chi_Minh-2ta1959237t1cvn.json,processed,ok,True,1,0,0,1,1,1,1611,764,2375,0,False
one_call,23-05-2024-Nam_Dinh-2ta1508192t1cvn,23-05-2024-Nam_Dinh-2ta1508192t1cvn.json,processed,ok,True,1,0,0,1,1,1,1348,513,1861,0,False
one_call,23-05-2024-Quang_Ninh-2ta1524752t1cvn,23-05-2024-Quang_Ninh-2ta1524752t1cvn.json,processed,ok,True,4,0,0,4,4,1,3888,1689,5577,0,False
